Report Written :   Thursday, October 09, 2014  17:59
Project Path   :   C:\Users\Administrateur\workspace\Schematics\Arduino Shield\PLC\PLC.prj
Design Path    :   C:\Users\Administrateur\workspace\Schematics\Arduino Shield\PLC\PLC.pcb
Design Title   :
Created        :   2014-09-17 17:35:10
Last Saved     :   2014-10-09 17:58:13
Editing Time   :   1874 min
Units          :   mm (precision 3)

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"X3","1","20Mhz OSC 20ppm","","SMD","","","","",""
"U7","1","74xx03PW","","14 - TSSOP","","","","",""
"U122","1","93LC56C-I/SN","","SOIC127P600X175-8N","","","","","2K Microwire Compatible Serial EEPROM"
"T2","1","750510476","","TR","Wurth Electronics Midcom","750510476","","1297-1074",""
"U10","1","AFE031AIRGZT","","QFN50P700X700X100-49N","","","","","IC, AFE, POWERLINE COMM, 48VQFN"
"U1","1","ARDUINO_Shield_PIO","","ARDUINO_Shield_PIO","","","","",""
"U8","1","B350A-13-F","","AP02001","Diodes Incorporated","B350A-13-F","","B350A-FDICT",""
"U12","1","B350A-13-F","","AP02001","Diodes Incorporated","B350A-13-F","","B350A-FDICT",""
"U5","1","BC817-40-7-F","","SOT103P240X110-3N","ON Semiconductor","BC817-40-7-F","","BC817-40LT1GOSCT","NPN SURFACE MOUNT SMALL SIGNAL TRANSISTOR"
"D8","1","BR1112H-TR","","TR","Stanley Electric Co","BR1112H-TR","","404-1017-1",""
"D9","1","BR1112H-TR","","TR","Stanley Electric Co","BR1112H-TR","","404-1017-1",""
"LED1","1","BR1112H-TR","","TR","Stanley Electric Co","BR1112H-TR","","404-1017-1",""
"LED2","1","BR1112H-TR","","TR","Stanley Electric Co","BR1112H-TR","","404-1017-1",""
"C12","1","Capacitor","0.1UF","SM-0603","Murata Electronics North America","GRM188R71E104KA01D","","490-1524-1","Capacitor"
"C11","1","Capacitor","0.1uf","SM-0603","Murata Electronics North America","GRM188R71C104KA01D","","490-1532-1","Capacitor"
"C10","1","Capacitor","0.1UF","SM-0603","Murata Electronics North America","GRM188R71E104KA01D","","490-1524-1","Capacitor"
"C6","1","Capacitor","0.1UF","SM-0603","Murata Electronics North America","GRM188R71E104KA01D","","490-1524-1","Capacitor"
"C3","1","Capacitor","0.1UF","SM-0603","Murata Electronics North America","GRM188R71E104KA01D","","490-1524-1","Capacitor"
"C1","1","Capacitor","0.1UF","SM-0603","Murata Electronics North America","GRM188R71E104KA01D","","490-1524-1","Capacitor"
"C69","1","Capacitor","0.1UF","SM-0603","Murata Electronics North America","GRM188R71E104KA01D","","490-1524-1","Capacitor"
"C70","1","Capacitor","0.1UF","SM-0603","Murata Electronics North America","GRM188R71E104KA01D","","490-1524-1","Capacitor"
"C34","1","Capacitor","0.1UF","SM-0603","Murata Electronics North America","GRM188R71E104KA01D","","490-1524-1","Capacitor"
"C71","1","Capacitor","0.1UF","SM-0603","Murata Electronics North America","GRM188R71E104KA01D","","490-1524-1","Capacitor"
"C36","1","Capacitor","0.1UF","SM-0603","Murata Electronics North America","GRM188R71E104KA01D","","490-1524-1","Capacitor"
"C81","1","Capacitor","0.1UF","SM-0603","Murata Electronics North America","GRM188R71E104KA01D","","490-1524-1","Capacitor"
"C38","1","Capacitor","0.1UF","SM-0603","Murata Electronics North America","GRM188R71E104KA01D","","490-1524-1","Capacitor"
"C86","1","Capacitor","0.1UF","SM-0603","Murata Electronics North America","GRM188R71E104KA01D","","490-1524-1","Capacitor"
