Report Written :   Thursday, October 09, 2014  17:58
Project Path   :   C:\Users\Administrateur\workspace\Schematics\Arduino Shield\PLC\PLC.prj
Design Path    :   C:\Users\Administrateur\workspace\Schematics\Arduino Shield\PLC\PLC.pcb
Design Title   :
Created        :   2014-09-17 17:35:10
Last Saved     :   2014-10-09 17:58:13
Editing Time   :   1873 min
Units          :   mm (precision 3)

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"X3","1","20Mhz OSC 20ppm","","SMD","","","","",""
"U7","1","74xx03PW","","14 - TSSOP","","","","",""
"U122","1","93LC56C-I/SN","","SOIC127P600X175-8N","","","","","2K Microwire Compatible Serial EEPROM"
"T2","1","750510476","","TR","","","","",""
"U10","1","AFE031AIRGZT","","QFN50P700X700X100-49N","","","","","IC, AFE, POWERLINE COMM, 48VQFN"
"U1","1","ARDUINO_Shield_PIO","","ARDUINO_Shield_PIO","","","","",""
"U8","1","B350A-13-F","","AP02001","","","","",""
"U12","1","B350A-13-F","","AP02001","","","","",""
"U5","1","BC817-40-7-F","","SOT103P240X110-3N","","","","","NPN SURFACE MOUNT SMALL SIGNAL TRANSISTOR"
"D8","1","BR1112H-TR","","TR","","","","",""
"D9","1","BR1112H-TR","","TR","","","","",""
"LED1","1","BR1112H-TR","","TR","","","","",""
"LED2","1","BR1112H-TR","","TR","","","","",""
"C12","1","Capacitor","","SM-0603","","","","",""
"C11","1","Capacitor","","SM-0603","","","","",""
"C10","1","Capacitor","","SM-0603","","","","",""
"C9","1","Capacitor","","SM-0603","","","","",""
"C8","1","Capacitor","","SM-0603","","","","",""
"C7","1","Capacitor","","SM-0603","","","","",""
"C6","1","Capacitor","","SM-0603","","","","",""
"C3","1","Capacitor","","SM-0603","","","","",""
"C1","1","Capacitor","","SM-0603","","","","",""
"C68","1","Capacitor","","SM-0603","","","","",""
"C69","1","Capacitor","","SM-0603","","","","",""
"C70","1","Capacitor","","SM-0603","","","","",""
"C33","1","Capacitor","","SM-0603","","","","",""
"C34","1","Capacitor","","SM-0603","","","","",""
"C71","1","Capacitor","","SM-0603","","","","",""
"C41","1","Capacitor","","SM-0603","","","","",""
"C42","1","Capacitor","","SM-0603","","","","",""
"C43","1","Capacitor","","SM-0603","","","","",""
"C44","1","Capacitor","","SM-0603","","","","",""
"C45","1","Capacitor","","SM-0603","","","","",""
"C46","1","Capacitor","","SM-0603","","","","",""
"C47","1","Capacitor","","SM-0603","","","","",""
"C48","1","Capacitor","","SM-0603","","","","",""
"C49","1","Capacitor","","SM-0603","","","","",""
"C50","1","Capacitor","","SM-0603","","","","",""
"C51","1","Capacitor","","SM-0603","","","","",""
"C52","1","Capacitor","","SM-0603","","","","",""
"C53","1","Capacitor","","SM-0603","","","","",""
"C2","1","Capacitor","","SM-0603","","","","",""
"C5","1","Capacitor","","SM-0603","","","","",""
"C35","1","Capacitor","","SM-0603","","","","",""
"C36","1","Capacitor","","SM-0603","","","","",""
"C81","1","Capacitor","","SM-0603","","","","",""
"C38","1","Capacitor","","SM-0603","","","","",""
"C39","1","Capacitor","","SM-0603","","","","",""
"C40","1","Capacitor","","SM-0603","","","","",""
"C86","1","Capacitor","","SM-0603","","","","",""
"C87","1","Capacitor","","SM-0603","","","","",""
"C56","1","Capacitor","","SM-0603","","","","",""
"C88","1","Capacitor","","SM-0603","","","","",""
"C89","1","Capacitor","","SM-0603","","","","",""
"C90","1","Capacitor","","SM-0603","","","","",""
